nom,nom2,adresse,retty,url,fb,mail
"ル スプートニク",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100001224635/","http://le-sputnik.jp/",,,
"レクテ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB702/100000005576/","http://www.recte.jp/","https://www.facebook.com/recte.jp/",,
"レザンファン ギャテ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB702/100000012322/","http://www.terrine-gates.com/","https://www.facebook.com/%E3%83%AC%E3%82%B6%E3%83%B3%E3%83%95%E3%82%A1%E3%83%B3-%E3%82%AE%E3%83%A3%E3%83%86--137963242956546/?ref=hl",,
"BREEZE OF TOKYO",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1504/100000747536/","http://breezeoftokyo.com/","https://www.facebook.com/BreezeOfTokyo",,
"アピシウ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB202/100000710292/","http://www.apicius.co.jp/",,,
"イラ レスト",,"東京都","https://retty.me/area/PRE13/ARE18/SUB1801/100000807619/","http://www.lylatokyo.com/",,,
"レストランひらまつ 広尾",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1403/100000020691/","http://www.hiramatsu.jp/hiroo/",,,
"・マティエール",,"東京都","https://retty.me/area/PRE13/ARE6/SUB604/100000720318/","https://pocket-concierge.jp/restaurants/14022",,,
"銀座 シェ・トモ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000006047/","http://www.chez-tomo.com/",,,
"クラフタル",,"東京都","https://retty.me/area/PRE13/ARE7/SUB702/100001233985/","https://www.craftale-tokyo.com/",,,
"Fish Bank TOKYO",,"東京都","https://retty.me/area/PRE13/ARE2/SUB1603/100000024530/","http://www.fish-bank-tokyo.jp/","https://www.facebook.com/FishBankTOKYO/",,
"オテル・ドゥ・ミクニ",,"東京都","https://retty.me/area/PRE13/ARE6/SUB603/100000010525/","http://www.oui-mikuni.co.jp/hoteldemikuni/",,,
"タワーズレストラン クーカーニョ セルリアンタワー東急ホテル",,"東京都","https://retty.me/area/PRE13/ARE8/SUB803/100000010852/","https://www.tokyuhotels.co.jp/cerulean-h/restaurant/coucagno/index.html",,,
"エディション・コウジ シモム",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000715741/","http://www.koji-shimomura.jp/",,,
"コート・ドール",,"東京都","https://retty.me/area/PRE13/ARE16/SUB1302/100000027278/",,,,
"シノワ 渋谷店",,"東京都","https://retty.me/area/PRE13/ARE8/SUB802/100000055363/","https://www.chinois.jp/shibuya/","https://www.facebook.com/WineBarChinois",,
"レストランひらまつ レゼルヴ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000453737/","http://www.hiramatsu.jp/cave",,,
"シャントレル",,"東京都","https://retty.me/area/PRE13/ARE664/SUB111/100000034864/","http://www.chanterelle.jp/about/",,,
"レ セゾ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB202/100000706363/","https://www.imperialhotel.co.jp/j/tokyo/restaurant/les_saisons/",,,
"メゾン ポール・ボキューズ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB702/100000742726/","http://www.paulbocuse.jp/maison/",,,
"Jean-Georges Tokyo",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000874462/","http://www.jean-georges-tokyo.jp/","https://www.facebook.com/jeangeorgest/",,
"コントワール ミサゴ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000040306/","http://missago.com/",,,
"ローブリュー",,"東京都","https://retty.me/area/PRE13/ARE23/SUB2303/100000038639/","http://lauburu.jp/",,,
"SIGNATURE マンダリンオリエンタル東京",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1503/100000005905/","http://www.mandarinoriental.co.jp/tokyo/dining/signature/",,,
"アバスク イチャスエタメンディ",,"東京都","https://retty.me/area/PRE13/ARE8/SUB805/100000009785/","http://abasque.com/","https://www.facebook.com/abasque.iem/",,
"シェ松尾 松濤レスト",,"東京都","https://retty.me/area/PRE13/ARE8/SUB804/100000006182/","http://www.chez-matsuo.co.jp/","https://www.facebook.com/%E3%82%B7%E3%82%A7%E6%9D%BE%E5%B0%BE%E6%9D%BE%E6%BF%A4%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-998011106918239/",,
"Le Nougat",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000353195/","http://lenougat.jp/",,,
"シック プッテートル",,"東京都","https://retty.me/area/PRE13/ARE10/SUB1002/100000844783/","http://www.chic-peut-etre.com/",,,
"L'orgueil",,"東京都","https://retty.me/area/PRE13/ARE23/SUB2303/100001265297/","http://orgueil.net/",,,
"Hommage",,"東京都","https://retty.me/area/PRE13/ARE9/SUB902/100000030153/","http://www.hommage-arai.com/","https://www.facebook.com/Restaurant-Hommage-%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%82%AA%E3%83%9E%E3%83%BC%E3%82%B8%E3%83%A5-412725242107795/",,
"ボニュ",,"東京都","https://retty.me/area/PRE13/ARE1/SUB102/100001222826/","http://www.bon-nu.jp/",,,
"マダム・トキ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB702/100000012632/","http://www.madame-toki.com/",,,
"OKADA",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1403/100000065560/",,,,
"ール・エ・ラ・マニエール",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000006075/","http://lart.co.jp/",,,
"クイーン・アリ",,"神奈川県","https://retty.me/area/PRE14/ARE39/SUB3901/100000016099/","https://ybht.co.jp/restaurant/queen_alice.php",,,
"レストラン ラ・マーレ",,"神奈川県","https://retty.me/area/PRE14/ARE40/SUB3402/100000045596/","http://www.chaya.co.jp/",,,
"ビルボード ライブ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000027855/","http://www.billboard-live.com/",,,
"ジランドール",,"東京都","https://retty.me/area/PRE13/ARE1/SUB106/100000008928/","https://restaurants.tokyo.park.hyatt.co.jp/grd.html","https://www.facebook.com/ParkHyattTokyo",,
"オーベルジュ・ド・リル トーキョー",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000038610/","http://www.haeberlin.jp/aubergedelill-tokyo/menu.html",,,
"ル・マノアール・ダスティ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000013177/","http://www.le-manoir-dhastings.com/",,,
"GRILL UKAI MARUNOUCHI",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1504/100000007835/","http://www.grill-ukai.jp/",,,
"リア",,"東京都","https://retty.me/area/PRE13/ARE6/SUB604/100000067492/","http://www.lalliance.jp/",,,
"タツミ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB703/100000034496/","http://www.hr-tatsumi.com/",,,
"アジュール フォーティーファイブ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000033819/","http://www.ritz-carlton.jp/restaurant/azure/","https://www.facebook.com/pages/Azure-45/146631615386402?rf=246224095419132",,
"レストラン タテル ヨシノ 銀座",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000013667/","http://www.tateruyoshino.com/",,,
"マルディグ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000000956/",,"https://www.facebook.com/%E3%83%9E%E3%83%AB%E3%83%87%E3%82%A3%E3%82%B0%E3%83%A9-168848883170244/?rf=294461550984724",,
"kiki harajuku",,"東京都","https://retty.me/area/PRE13/ARE23/SUB2301/100000036668/","http://kikioishii.com/",,,
"レストラン　ラ・トルチュ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1403/100000215246/","http://www.tateruyoshino.com/news/all/20110502.html",,,
"ahill azabu",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000720743/","http://www.ahill.jp/azabu",,,
"ル ブルターニュ バー ア シードル レスト",,"東京都","https://retty.me/area/PRE13/ARE6/SUB604/100000768089/","http://www.le-bretagne.com/j/bar/",,,
"オー・ギャマン・ド・トキオ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB701/100001193982/","http://www.gamin2008.com/shopinfo/tokio.html",,,
"ミュージアム 1999 ロアラブッシュ",,"東京都","https://retty.me/area/PRE13/ARE8/SUB805/100000054616/","http://www.1999group.com/","https://www.facebook.com/R.Leaualabouche/",,
"ahill 銀座店",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000451478/","http://www.ahill.jp/ginza",,,
"Nabeno-Ism",,"東京都","https://retty.me/area/PRE13/ARE9/SUB902/100001288832/","http://nabeno-ism.tokyo/",,,
"アルカナ東京",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1504/100000797272/","http://arcana.co.jp/tokyo/","https://www.facebook.com/ArcanaTokyoKarato",,
"アルジェント",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000039451/","https://www.hiramatsurestaurant.jp/argento-asami/",,,
"ル サロン ジャック・ボリー",,"東京都","https://retty.me/area/PRE13/ARE1/SUB104/100000754448/","http://parlour.shiseido.co.jp/lesalon/index.html",,,
"moRi",,"東京都","https://retty.me/area/PRE13/ARE7/SUB701/100000007666/","http://www.mori-ebisu.jp/",,,
"オーベルジュ・オー・ミラドー",,"神奈川県","https://retty.me/area/PRE14/ARE30/SUB3002/100000066014/","http://www.mirador.co.jp/",,,
"ブラスリー",,"東京都","https://retty.me/area/PRE13/ARE2/SUB202/100000710280/","http://www.imperialhotel.co.jp/",,,
"ブーケ・ド・",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000026237/","http://www.bouquet-de-france.com/",,,
